,direction,direction_spherical,peaks,column_density,angle_respect_to_los
2551,"[-0.99130203525077, -0.10698642094876205, -0.07664320348377791]","[1.647514765327446, -3.0340836307046164]","[4.932132070382764, 35.330267512303045, 4.16156017009024]",2.5000940858368972e+16,0.023184299875423704
254,"[0.8217450948783719, 0.5299681234444309, -0.20944876981286756]","[1.7818075184621829, 0.5728028629962097]","[26.728908251148578, 11.628371766002495, 34.17132096853334]",2.2570203052301642e+17,0.023241080547562742
2750,"[0.04368379498685413, -0.46820163354019656, 0.8825411924696989]","[0.48955714210679685, -1.4777644100932694]","[33.15689335602977, 19.823839853635235, 27.519647335711447]",6.1628329820904856e+16,0.02385359570885487
994,"[0.024203844452159548, -0.6195810965531899, -0.7845593914469974]","[2.472781536590303, -1.5317513274349719]","[12.258399016802603, 4.448299262448984, 35.94722898343626]",4.004659816509518e+16,0.023962439960423743
1365,"[-0.929722480923408, -0.31636014958201647, -0.1885003029760624]","[1.7604311762132205, -2.813608788899224]","[27.389556249032495, 27.707646444805192, 14.28442004142454]",1.9898977720290298e+17,0.024078956803392615
315,"[-0.6049196359087899, 0.5044309784709198, -0.6161344188169066]","[2.2346217572728717, 2.4465312634520844]","[10.441167403093097, 32.68525384854715, 1.6861328617439995]",5.809620400531734e+17,0.024124278725434267
455,"[0.3935876456797404, 0.759979852718279, 0.5172227649964592]","[1.0271935688894251, 1.0929376203543264]","[18.079804450149624, 27.23676940793034, 4.002945570010283]",2.7268590517926176e+17,0.024250820272531975
786,"[-0.31678815238256525, 0.9158005689495039, -0.24688982243463553]","[1.8202657298015243, 1.9038263462251448]","[0.23404657164440756, 5.097620754925444, 27.46067437701754]",3.7301184099508115e+17,0.024697209645354185
1870,"[-0.07587001553908126, -0.9864744047396099, -0.1452996542863468]","[1.7166121609870992, -1.647555489207539]","[14.499565499007737, 13.516878975235041, 10.215560225666351]",9.682919700109079e+17,0.024725199296737176
440,"[-0.27582627918929026, 0.9602236221118589, -0.04347941175975113]","[1.6142894495645699, 1.850517186603466]","[9.220771859291617, 22.06254394819171, 4.985081831938656]",6.9447620632671864e+16,0.025003917052825175
13,"[-0.9686036628447272, 0.22729001531823653, 0.10072831409496366]","[1.4698968954342204, 2.9111053898391503]","[39.61744252892154, 11.271427435384346, 25.33480228963184]",5.341046789531788e+16,0.02512922870315512
896,"[0.8926593994293481, 0.38456388733265695, 0.23509532783539358]","[1.333479683165676, 0.40677890007192086]","[39.087206700095265, 11.993728032990731, 16.99471139735404]",6.138607805526941e+17,0.02544395858909046
664,"[-0.591623723678675, 0.761619630856678, -0.2644180543652723]","[1.8383967765975358, 2.231228006280144]","[15.822665067172984, 37.46619381693534, 23.51320669482653]",1.1540705733988295e+19,0.026156902222778528
347,"[0.9556247787638092, -0.21251051698153653, -0.20401118200937085]","[1.7762498665268898, -0.21881797626887756]","[24.2809827669784, 32.68396553325344, 34.92915659751513]",7.45733846857415e+16,0.02654721368963639
2452,"[0.8044786733395888, -0.2608175419072486, -0.5336555761680337]","[2.133713561503809, -0.31351440585417767]","[3.588226086012451, 38.58886209119985, 39.17425978079335]",2.531840508476899e+16,0.026839190513094774
544,"[0.91304853783384, -0.28176073921007005, -0.29487837051788324]","[1.8701245535318056, -0.2993218695180968]","[35.38502654529535, 17.90515934418147, 7.868080080020874]",2.163888233808117e+16,0.027120534812051143
1104,"[-0.9588993190092424, -0.27742710628569806, -0.05955079093979641]","[1.6303823714850845, -2.859964176757528]","[13.925497603091998, 20.9950289602233, 3.1173927900550495]",5.901511272816598e+17,0.02718753255585886
1613,"[0.8412505770801212, -0.43264397997478493, -0.32421698467838095]","[1.900980210491172, -0.4750115328059985]","[8.197861464587671, 32.823069265694706, 6.4781288473616625]",1.2549220778876946e+19,0.027194319357615043
2739,"[-0.6971594345599175, 0.03526408515906896, -0.7160482994198014]","[2.3689210314180627, 3.091053201592359]","[27.0780822623882, 27.946104261008323, 29.138657013061252]",1.981043636462885e+16,0.027502031209467037
2179,"[-0.38442350465389336, 0.7558216993901042, -0.5300491748891534]","[2.129454882605997, 2.041313474524996]","[9.314502729867385, 28.22824148280602, 25.119994780234077]",2.902597235115095e+17,0.027712982901961704
2582,"[-0.6226118196275592, 0.4383807411369316, 0.6482104965675074]","[0.8655643391482999, 2.5281205671276856]","[22.369716423143675, 27.81081190480962, 0.030416451866081218]",8.32758042138455e+17,0.02823309375727079
1795,"[0.24500757902430212, 0.8874735382593469, 0.39033575945599186]","[1.1698000729548452, 1.301432728795392]","[2.0666170568267006, 17.058207013745342, 29.315014262343944]",6.817219174984032e+16,0.02824631864272112
1025,"[0.9179241048195538, -0.18223492563936716, 0.3524283894189499]","[1.210631606796144, -0.19598112636739995]","[16.612619306468467, 10.657294571263423, 33.664593392843244]",1.955426537132258e+18,0.028859044694295843
1626,"[0.303964236693927, -0.6700560994053963, -0.6772226860204162]","[2.3147777100588907, -1.144919515685292]","[0.8770906690260678, 19.89631194768149, 35.29453777111016]",5.323519753191624e+20,0.02935750589410102
814,"[-0.42774149217337526, 0.8589613287655905, 0.28146518711653473]","[1.2854756405585217, 2.0328228333634697]","[9.80484826893974, 17.110150155276408, 28.34036745142497]",3.9065478481477816e+16,0.029751305237557285
1430,"[-0.7033057334582108, -0.5451619548994449, 0.45624498705741845]","[1.0970255226140309, -2.482193749838584]","[9.232770979776616, 3.637278364319512, 18.00284297592655]",1.809720173555425e+16,0.030249534836920833
906,"[-0.9108048712450894, 0.4116166034332193, 0.03172157458758608]","[1.5390694297806207, 2.7171380357563955]","[34.703200467758144, 7.968869715701699, 30.077866961448738]",1.1785534647847571e+17,0.03120223673904806
2397,"[-0.9627679560319496, 0.2049910109678599, 0.1762286817190569]","[1.3936424804935204, 2.931806973581725]","[38.52641968597445, 22.266666731425516, 4.311001161172641]",7.584024788997978e+16,0.03130086296888303
1103,"[0.9126963880044567, 0.3423491375196642, 0.223119634642852]","[1.3457827110665173, 0.35885519042729025]","[13.378423978599129, 22.879139869916173, 2.150468368520194]",5.256787943468853e+16,0.032016403986042594
