,dx(cMpc),dy(cMpc),dz(cMpc),volume(cMpc**3),density(g/cMpc**3)
38,-0.01525926513447253,-0.010112103979054614,-0.0020252955950640235,1.0858069069161949e-07,9.007446733897478e+45
39,-0.02002998812232956,-0.0053413809911967685,-0.011566741570779717,1.0858069069161949e-07,8.927004174666926e+45
40,-0.02002998812232956,-0.000570658003340553,-0.011566741570779717,1.0858069069161949e-07,2.6315251503902597e+45
41,-0.01525926513447253,-0.000570658003340553,-0.016337464558635932,1.0858069069161949e-07,1.3088163580434347e+46
42,-0.01525926513447253,-0.000570658003340553,-0.011566741570779717,1.0858069069161949e-07,1.220184126604685e+46
43,-0.016451945881436583,-0.006534061738160821,-0.017530145305601617,1.3572586336452436e-08,2.831027192515742e+46
44,-0.016451945881436583,-0.006534061738160821,-0.01514478381167351,1.3572586336452436e-08,4.2274195529226577e+46
45,-0.016451945881436583,-0.004148700244232715,-0.017530145305601617,1.3572586336452436e-08,2.87771527311028e+46
46,-0.016451945881436583,-0.004148700244232715,-0.01514478381167351,1.3572586336452436e-08,2.720110166790369e+46
47,-0.014066584387508069,-0.006534061738160821,-0.017530145305601617,1.3572586336452436e-08,1.77768065820846e+47
48,-0.014066584387508069,-0.004148700244232715,-0.017530145305601617,1.3572586336452436e-08,7.587756592869066e+46
49,-0.014066584387508069,-0.004148700244232715,-0.01514478381167351,1.3572586336452436e-08,7.890758273685821e+46
50,-0.014662924760990096,-0.007130402111643665,-0.01574112418515309,1.6965732920565545e-09,1.906419163685939e+47
51,-0.014662924760990096,-0.007130402111643665,-0.014548443438190667,1.6965732920565545e-09,2.2968395639685523e+47
52,-0.014662924760990096,-0.005937721364679611,-0.01574112418515309,1.6965732920565545e-09,1.881842484045493e+47
53,-0.014662924760990096,-0.005937721364679611,-0.014548443438190667,1.6965732920565545e-09,1.691079488003794e+47
54,-0.013470244014026042,-0.007130402111643665,-0.01574112418515309,1.6965732920565545e-09,3.868511485130142e+47
55,-0.013470244014026042,-0.007130402111643665,-0.014548443438190667,1.6965732920565545e-09,6.602655268743065e+47
56,-0.013470244014026042,-0.005937721364679611,-0.01574112418515309,1.6965732920565545e-09,3.94941362418303e+47
57,-0.013470244014026042,-0.005937721364679611,-0.014548443438190667,1.6965732920565545e-09,4.175114180012138e+47
58,-0.016451945881436583,-0.006534061738160821,-0.01275942231774214,1.3572586336452436e-08,4.676335112088792e+46
59,-0.016451945881436583,-0.006534061738160821,-0.010374060823814032,1.3572586336452436e-08,3.5101242610610045e+46
60,-0.016451945881436583,-0.004148700244232715,-0.01275942231774214,1.3572586336452436e-08,2.19885251987925e+46
61,-0.016451945881436583,-0.004148700244232715,-0.010374060823814032,1.3572586336452436e-08,1.632198644101757e+46
62,-0.014066584387508069,-0.006534061738160821,-0.010374060823814032,1.3572586336452436e-08,1.279593074987905e+47
63,-0.014066584387508069,-0.004148700244232715,-0.01275942231774214,1.3572586336452436e-08,6.777272592069722e+46
64,-0.014066584387508069,-0.004148700244232715,-0.010374060823814032,1.3572586336452436e-08,3.946575050026105e+46
65,-0.014662924760990096,-0.007130402111643665,-0.013355762691224982,1.6965732920565545e-09,2.0973284207546847e+47
66,-0.014662924760990096,-0.007130402111643665,-0.01216308194426256,1.6965732920565545e-09,1.592045486887279e+47
67,-0.014662924760990096,-0.005937721364679611,-0.013355762691224982,1.6965732920565545e-09,1.2790626575229334e+47
68,-0.014662924760990096,-0.005937721364679611,-0.01216308194426256,1.6965732920565545e-09,8.829225500247617e+46
69,-0.013470244014026042,-0.007130402111643665,-0.013355762691224982,1.6965732920565545e-09,8.010972287467032e+47
70,-0.013470244014026042,-0.007130402111643665,-0.01216308194426256,1.6965732920565545e-09,6.448118023668683e+47
71,-0.013470244014026042,-0.005937721364679611,-0.013355762691224982,1.6965732920565545e-09,3.5801999464996454e+47
72,-0.013470244014026042,-0.005937721364679611,-0.01216308194426256,1.6965732920565545e-09,2.3116564978922284e+47
73,-0.02002998812232956,-0.0053413809911967685,-0.006796018582923501,1.0858069069161949e-07,6.992177145218984e+45
74,-0.02002998812232956,-0.0053413809911967685,-0.0020252955950640235,1.0858069069161949e-07,3.1257260660476864e+45
75,-0.02002998812232956,-0.000570658003340553,-0.006796018582923501,1.0858069069161949e-07,1.5883182995563716e+45
76,-0.02002998812232956,-0.000570658003340553,-0.0020252955950640235,1.0858069069161949e-07,1.2654586975520063e+45
77,-0.01525926513447253,-0.0053413809911967685,-0.006796018582923501,1.0858069069161949e-07,1.5629090915705892e+46
78,-0.01525926513447253,-0.0053413809911967685,-0.0020252955950640235,1.0858069069161949e-07,5.808291477724186e+45
79,-0.01525926513447253,-0.000570658003340553,-0.006796018582923501,1.0858069069161949e-07,5.615531431366547e+45
80,-0.01525926513447253,-0.000570658003340553,-0.0020252955950640235,1.0858069069161949e-07,2.947260008092033e+45
81,-0.017644626628401047,0.006585426478445401,-0.013952103064707825,8.686455255329559e-07,1.3782653053269877e+45
82,-0.017644626628401047,0.006585426478445401,-0.004410657088995394,8.686455255329559e-07,1.1319012311413913e+45
83,-0.017644626628401047,0.016126872454159464,-0.004410657088995394,8.686455255329559e-07,3.808135792489029e+44
84,-0.017644626628401047,-0.012497465472982722,0.0051307888867202995,8.686455255329559e-07,2.328313591435822e+45
85,-0.017644626628401047,-0.0029560194972686605,0.0051307888867202995,8.686455255329559e-07,2.748056542004299e+45
86,-0.017644626628401047,-0.0029560194972686605,0.014672234862435992,8.686455255329559e-07,2.709478737935303e+45
87,-0.017644626628401047,0.006585426478445401,0.0051307888867202995,8.686455255329559e-07,1.1474658521593945e+45
88,-0.017644626628401047,0.006585426478445401,0.014672234862435992,8.686455255329559e-07,1.2451241759983127e+45
89,-0.017644626628401047,0.016126872454159464,0.0051307888867202995,8.686455255329559e-07,4.059152986670121e+44
90,-0.008103180652686576,-0.022038911448696782,-0.004410657088995394,8.686455255329559e-07,1.5690679891535628e+45
91,0.0014382653230274852,-0.022038911448696782,-0.004410657088995394,8.686455255329559e-07,1.160846337670542e+45
92,-0.008103180652686576,-0.022038911448696782,0.0051307888867202995,8.686455255329559e-07,7.633152595465286e+44
93,0.0014382653230274852,-0.022038911448696782,0.0051307888867202995,8.686455255329559e-07,9.384065610196044e+44
94,0.01575043428659858,-0.0077267424851265075,-0.00918138007685161,6.949164204263647e-06,7.323679764254102e+44
95,0.01575043428659858,0.011356149466303247,-0.00918138007685161,6.949164204263647e-06,4.6611293303926815e+44
96,0.0014382653230274852,-0.0029560194972686605,-0.023493549040423518,8.686455255329559e-07,3.812693816167349e+45
97,-0.005717819158758061,-0.010112103979054614,-0.021108187546492147,1.0858069069161949e-07,1.0509408903768678e+46
98,-0.011681222893579554,-0.008919423232090561,-0.019915506799529723,1.3572586336452436e-08,2.648041011132434e+46
99,-0.009295861399651039,-0.011304784726018669,-0.019915506799529723,1.3572586336452436e-08,1.0134975042916455e+46
100,-0.009295861399651039,-0.008919423232090561,-0.019915506799529723,1.3572586336452436e-08,3.2232026446713064e+46
101,-0.010488542146615092,-0.000570658003340553,-0.021108187546492147,1.0858069069161949e-07,1.3980384003482657e+46
